web_scraper_order,web_scraper_start_url,brand,name,price,url,image
"1784125133-944","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=22","Light On Serum Centella + Vita C 30ml","Rs 2,800","https://koreanbeautypoint.com/shop/boj-vit-c-light-on-serum-centella-vita-c-30ml-7645","https://koreanbeautypoint.com/web/image/product.product/11663/image_1024/%5Bboj%20vit%20c%5D%20Light%20On%20Serum%20Centella%20%2B%20Vita%20C%2030ml?unique=433b209"
"1784125133-945","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=22","Apricot Blossom Peeling Gel 100ml","Rs 1,900","https://koreanbeautypoint.com/shop/boj-apricot-peeling-gel-apricot-blossom-peeling-gel-100ml-4461","https://koreanbeautypoint.com/web/image/product.product/8072/image_1024/%5Bboj%20apricot%20peeling%20gel%5D%20Apricot%20Blossom%20Peeling%20Gel%20100ml?unique=5869f3a"
"1784125133-946","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=22","Matte Sun Stick","Rs 2,600","https://koreanbeautypoint.com/shop/matte-sun-stick-4844","https://koreanbeautypoint.com/web/image/product.product/8713/image_1024/%5Bboj%20matte%20sunstick%5D%20Matte%20Sun%20Stick%20%2818g%29?unique=195a5a7"
"1784125133-947","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=22","Relief Sun Aqua-Fresh","Rs 500","https://koreanbeautypoint.com/shop/relief-sun-aqua-fresh-5024","https://koreanbeautypoint.com/web/image/product.product/8941/image_1024/%5Bboj%20aqua%20spf%20mini%5D%20Relief%20Sun%20Aqua-Fresh%20%2810ml%29?unique=d686557"
"1784125133-948","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=22","Light On Serum Centella + Vita C 30ml","Rs 2,800","https://koreanbeautypoint.com/shop/boj-vit-c-light-on-serum-centella-vita-c-30ml-7645","https://koreanbeautypoint.com/web/image/product.product/11663/image_1024/%5Bboj%20vit%20c%5D%20Light%20On%20Serum%20Centella%20%2B%20Vita%20C%2030ml?unique=433b209"
"1784125133-949","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=22","Revive Firming Moisturizer 60ml","Rs 3,300","https://koreanbeautypoint.com/shop/boj-revive-cream-60ml-revive-firming-moisturizer-60ml-7639","https://koreanbeautypoint.com/web/image/product.product/11657/image_1024/%5Bboj%20revive%20cream%2060ml%5D%20Revive%20Firming%20Moisturizer%2060ml?unique=eef937f"
"1784125133-950","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=22","Rice Wonderland Set 5pcs","Rs 9,000","https://koreanbeautypoint.com/shop/boj-rice-wonderland-rice-wonderland-set-5pcs-4481","https://koreanbeautypoint.com/web/image/product.product/8092/image_1024/%5Bboj%20rice%20wonderland%5D%20Rice%20Wonderland%20Set%205pcs?unique=affe57f"
"1784125133-951","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=22","Glow Charging Rice Duo Set","Rs 5,000","https://koreanbeautypoint.com/shop/boj-rice-glow-set-glow-charging-rice-duo-set-4479","https://koreanbeautypoint.com/web/image/product.product/8090/image_1024/%5Bboj%20rice%20glow%20set%5D%20Glow%20Charging%20Rice%20Duo%20Set?unique=3cf67e5"
"1784125133-952","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=22","Red Bean Water Gel 100ml","Rs 2,800","https://koreanbeautypoint.com/shop/boj-red-bean-gel-red-bean-water-gel-100ml-4474","https://koreanbeautypoint.com/web/image/product.product/8085/image_1024/%5Bboj%20red%20bean%20gel%5D%20Red%20Bean%20Water%20Gel%20100ml?unique=a87bc81"
"1784125133-953","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=22","Glow Serum 30ml","Rs 2,600","https://koreanbeautypoint.com/shop/boj-glow-serum-glow-serum-30ml-4469","https://koreanbeautypoint.com/web/image/product.product/8080/image_1024/%5Bboj%20glow%20serum%5D%20Glow%20Serum%2030ml?unique=4f4da3b"
"1784125133-954","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=22","Ginseng Essence Water 150ml","Rs 2,800","https://koreanbeautypoint.com/shop/boj-ginseng-essence-ginseng-essence-water-150ml-4466","https://koreanbeautypoint.com/web/image/product.product/8077/image_1024/%5Bboj%20ginseng%20essence%5D%20Ginseng%20Essence%20Water%20150ml?unique=c6625db"
"1784125133-955","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=22","Relief Sun Aqua-Fresh Kit","Rs 4,500","https://koreanbeautypoint.com/shop/boj-aqua-spf-kit-relief-sun-aqua-fresh-kit-4462","https://koreanbeautypoint.com/web/image/product.product/8073/image_1024/%5Bboj%20aqua%20spf%20kit%5D%20Relief%20Sun%20Aqua-Fresh%20Kit?unique=affe57f"
"1784125143-956","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=54","Clean It Zero Cleansing Balm Original 100ml","Rs 3,000","https://koreanbeautypoint.com/shop/banilla-clean-it-zero-balm-clean-it-zero-cleansing-balm-original-100ml-4443","https://koreanbeautypoint.com/web/image/product.product/8047/image_1024/%5Bbanilla%20clean%20it%20zero%20balm%5D%20Clean%20It%20Zero%20Cleansing%20Balm%20Original%20100ml?unique=affe57f"
"1784125152-957","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=59","Matcha Hydrating Foam Cleanser 120ml","Rs 1,600","https://koreanbeautypoint.com/shop/blab-matcha-foam-matcha-hydrating-foam-cleanser-120ml-4459","https://koreanbeautypoint.com/web/image/product.product/8069/image_1024/%5Bblab%20matcha%20foam%5D%20Matcha%20Hydrating%20Foam%20Cleanser%20120ml?unique=affe57f"
"1784125164-958","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=19","Dark Spot Correcting Glow Serum","Rs 500","https://koreanbeautypoint.com/shop/dark-spot-correcting-glow-serum-4565","https://koreanbeautypoint.com/web/image/product.product/8206/image_1024/%5Bay%20dark%20spot%20serum%5D%20Dark%20Spot%20Correcting%20Glow%20Serum%20%2850ml%29?unique=339e199"
"1784125164-959","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=19","Spot The Difference Blemish Treatment 15ml","Rs 2,100","https://koreanbeautypoint.com/shop/ay-spot-treatment-spot-the-difference-blemish-treatment-15ml-4439","https://koreanbeautypoint.com/web/image/product.product/8042/image_1024/%5Bay%20spot%20treatment%5D%20Spot%20The%20Difference%20Blemish%20Treatment%2015ml?unique=d514c1d"
"1784125164-960","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=19","New Skin Resolution Gel Mask 100ml","Rs 2,800","https://koreanbeautypoint.com/shop/ay-resolution-gel-mask-new-skin-resolution-gel-mask-100ml-4438","https://koreanbeautypoint.com/web/image/product.product/8041/image_1024/%5Bay%20resolution%20gel%20mask%5D%20New%20Skin%20Resolution%20Gel%20Mask%20100ml?unique=affe57f"
"1784125164-961","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=19","Panthenol 10 Skin Smoothing Shield Cream 50ml","Rs 2,400","https://koreanbeautypoint.com/shop/ay-panthenol-cream-panthenol-10-skin-smoothing-shield-cream-50ml-4433","https://koreanbeautypoint.com/web/image/product.product/8036/image_1024/%5Bay%20panthenol%20cream%5D%20Panthenol%2010%20Skin%20Smoothing%20Shield%20Cream%2050ml?unique=f3b8e5e"
"1784125164-962","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=19","Heartleaf My Type Calming Cream 60ml","Rs 2,600","https://koreanbeautypoint.com/shop/ay-heartleaf-my-type-cream-heartleaf-my-type-calming-cream-60ml-4430","https://koreanbeautypoint.com/web/image/product.product/8033/image_1024/%5Bay%20heartleaf%20my%20type%20cream%5D%20Heartleaf%20My%20Type%20Calming%20Cream%2060ml?unique=320408b"
"1784125164-963","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=19","Glow Your Own Way Limited Edition Set","Rs 8,000","https://koreanbeautypoint.com/shop/ay-glow-set-glow-your-own-way-limited-edition-set-4428","https://koreanbeautypoint.com/web/image/product.product/8031/image_1024/%5Bay%20glow%20set%5D%20Glow%20Your%20Own%20Way%20Limited%20Edition%20Set?unique=1134e3a"
"1784125164-964","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=19","Dark Spot Correcting Glow Cream 50ml","Rs 3,300","https://koreanbeautypoint.com/shop/ay-dark-spot-cream-dark-spot-correcting-glow-cream-50ml-4423","https://koreanbeautypoint.com/web/image/product.product/8026/image_1024/%5Bay%20dark%20spot%20cream%5D%20Dark%20Spot%20Correcting%20Glow%20Cream%2050ml?unique=3814b2f"
